;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product and Components selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkiye, Rep of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indicator;;Base Year;Scale;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2
;Change in Inventories, Nominal, Undjusted, Domestic Currency;;Millions;3.235,63;3.536,53;12.261,07;5.686,87;9.935,40;7.084,96;24.317,27;4.452,94;7.197,30;1.250,48;10.020,71;-2.425,25;3.537,20;7.357,73;12.114,71;202,19;656,61;-2.865,64;7.794,89;-1.029,50;-4.781,74;-12.041,61;7.449,57;-22.490,04;-11.760,86;-8.978,18;4.829,89;-12.684,36;-7.154,27;-6.303,78;25.249,79;14.439,66;25.633,20;6.861,27;10.690,41;-54.796,24;-14.070,63;-16.631,51;1.073,37;-17.847,62;42.045,41;20.998,99;83.301,05;46.428,10;72.680,53;46.763,79;50.254,80;64.820,05;207.341,92;156.806,48;343.525,30;174.570,84;182.340,23;-242.513,34;-99.800,62;-342.395,42;-188.020,26;-565.382,88;
;Exports of Goods and Services, Nominal, Undjusted, Domestic Currency;;Millions;52.213,14;62.848,71;66.142,27;66.272,25;65.338,01;74.447,69;93.053,82;90.205,34;81.061,62;97.340,11;105.094,53;101.765,93;91.346,04;107.510,41;117.217,78;117.774,01;122.679,84;126.710,61;137.087,36;131.470,32;124.546,04;142.597,00;158.039,94;151.532,95;136.664,70;147.100,34;148.276,17;174.260,94;183.948,26;194.962,35;209.515,07;227.572,81;206.299,23;254.738,43;361.489,77;352.185,98;302.821,00;358.802,46;388.412,13;378.046,17;333.333,16;253.904,27;390.141,06;492.804,39;436.008,16;557.543,16;670.311,27;929.750,66;1.062.007,79;1.391.514,68;1.661.814,23;1.676.837,31;1.510.877,83;1.775.315,71;2.561.282,70;2.624.812,72;2.584.969,70;2.833.258,57;
;Imports of Goods and Services, Nominal, Undjusted, Domestic Currency;;Millions;62.036,79;73.842,01;76.404,45;85.475,07;92.938,38;105.109,37;113.337,46;114.455,02;105.723,83;116.901,37;113.655,90;113.964,90;114.849,96;132.537,59;133.881,09;142.680,23;141.497,47;145.511,54;143.947,24;155.938,18;140.749,18;159.866,40;156.844,84;166.885,34;152.684,89;168.590,70;152.864,42;188.926,51;204.092,57;224.993,04;232.973,83;269.363,54;257.368,49;295.614,72;322.136,10;305.191,70;292.716,66;328.391,03;321.508,50;357.868,27;360.873,19;309.316,66;430.901,60;525.706,87;466.196,26;568.658,55;604.813,08;924.561,74;1.262.446,50;1.502.763,14;1.779.159,40;1.848.535,00;1.915.911,14;1.932.250,11;2.585.126,49;2.688.026,42;2.771.572,08;2.923.944,91;
;National Accounts, Constant Prices, Unadjusted;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;
;Gross Domestic Product, Real, Undjusted, Domestic Currency;2010;Millions;247.027,18;281.816,43;317.818,10;321.002,80;276.181,11;314.348,64;354.737,05;353.177,39;294.797,94;330.193,18;367.666,01;367.962,75;319.621,20;362.349,58;400.438,03;393.670,98;347.024,35;372.454,36;414.142,82;415.372,36;359.319,40;399.171,79;437.845,80;446.905,21;377.081,97;419.142,29;434.915,89;466.708,45;397.032,79;441.364,70;486.192,70;500.630,93;426.840,75;467.318,62;498.521,78;487.536,95;416.032,18;459.776,50;503.429,22;516.370,07;433.824,93;412.127,73;535.834,63;549.076,49;466.561,64;504.236,93;578.587,94;602.356,63;503.096,74;542.673,70;602.575,14;622.462,71;525.911,12;567.771,44;641.804,10;651.386,35;553.841,08;581.916,03;
;Household Consumption Expenditure, incl. NPISHs, Real, Undjusted, Domestic Currency;2010;Millions;159.859,36;177.102,19;199.077,81;195.842,54;187.356,76;203.743,85;217.704,89;212.463,61;193.822,33;207.208,06;223.404,44;222.590,31;206.603,74;223.007,87;242.896,93;238.349,89;210.957,61;229.544,17;247.957,77;250.902,09;226.568,34;241.277,98;256.254,10;265.105,86;233.771,23;254.823,24;258.169,60;279.879,77;242.680,12;263.388,96;284.034,91;297.378,35;258.035,32;271.889,52;288.525,69;276.242,43;248.447,70;271.089,83;293.885,52;297.729,79;259.578,13;245.626,69;318.569,39;323.225,55;281.567,47;305.611,59;348.237,15;387.979,40;336.744,34;371.403,72;416.139,20;449.218,35;395.045,46;430.830,61;467.259,12;494.773,11;421.832,90;437.757,18;
;Government Consumption Expenditure, Real, Undjusted, Domestic Currency;2010;Millions;41.197,32;40.808,15;41.919,68;49.759,78;39.171,04;42.675,54;41.545,40;52.163,48;42.092,88;45.463,95;46.548,21;53.402,58;45.508,16;49.697,04;50.534,06;56.839,02;48.757,43;49.258,41;51.002,64;59.902,01;46.204,50;52.627,06;51.525,54;66.735,88;51.929,50;60.538,21;54.509,36;70.775,18;56.507,73;59.379,70;58.782,16;75.013,43;58.927,55;64.672,96;62.470,81;78.225,87;62.573,80;66.161,83;66.451,73;79.437,53;64.720,37;66.021,97;67.479,35;82.414,03;63.493,82;68.173,21;73.536,96;83.934,87;66.255,56;69.331,55;76.355,62;89.415,19;68.216,62;72.303,16;78.945,22;89.226,00;71.929,05;72.799,13;
;Gross Fixed Capital Formation, Real, Undjusted, Domestic Currency;2010;Millions;52.897,17;70.177,84;76.996,33;87.588,17;69.540,25;92.109,36;93.652,41;100.462,45;75.142,40;92.296,31;94.642,83;103.866,33;86.154,23;105.611,89;110.220,82;116.085,53;98.776,71;106.284,67;111.802,30;121.737,71;101.047,56;121.192,83;121.853,79;135.214,14;107.333,43;123.246,53;123.048,48;136.248,67;112.362,08;133.528,53;138.525,24;145.908,00;125.241,40;144.195,29;133.445,62;128.206,06;107.479,22;113.990,71;114.275,24;129.106,96;106.392,36;107.632,81;140.352,53;144.537,26;119.938,74;130.190,66;138.104,60;146.751,31;123.323,32;135.180,92;135.559,54;147.702,65;128.619,22;142.401,23;154.824,05;161.211,41;140.522,05;143.119,23;
;Exports of Goods and Services, Real, Undjusted, Domestic Currency;2010;Millions;54.040,52;62.249,90;65.379,33;65.806,62;59.160,30;65.035,21;81.027,77;74.229,64;67.223,93;81.122,77;87.682,46;83.938,15;74.369,24;85.705,77;88.505,45;87.169,74;83.608,05;89.676,14;94.865,84;91.364,34;85.569,07;92.756,22;98.441,78;94.391,24;85.093,38;90.815,73;89.907,72;98.876,31;95.377,94;100.511,55;105.469,98;108.589,50;94.555,03;106.588,21;124.325,08;121.747,51;103.230,06;114.068,79;130.723,03;122.800,33;102.947,19;72.748,77;103.260,04;123.014,32;104.924,63;116.266,62;130.572,72;150.925,35;122.761,03;138.107,16;145.806,55;145.942,06;118.620,04;124.953,43;147.248,18;146.123,68;123.689,45;125.006,56;
;Imports of Goods and Services, Real, Undjusted, Domestic Currency;2010;Millions;63.437,66;74.065,73;76.461,09;83.793,84;83.314,13;89.860,00;85.621,28;83.560,21;81.018,14;89.234,42;87.629,93;86.590,87;88.245,52;100.297,66;95.499,61;98.049,64;89.900,67;96.584,55;94.713,87;102.036,99;91.499,27;97.697,49;94.203,65;102.374,22;93.107,06;104.423,84;95.137,18;104.664,10;95.156,38;106.046,24;109.798,17;128.587,97;109.172,98;108.916,04;95.578,42;98.788,45;77.129,91;88.928,11;99.323,87;126.401,82;93.013,85;81.248,38;115.216,75;128.845,44;91.914,93;97.132,71;103.891,95;132.298,15;94.525,96;103.409,16;117.722,03;146.014,48;107.373,75;123.795,29;134.830,54;150.108,28;104.157,40;116.781,16;
;National Accounts, Current Prices, Seasonally Adjusted;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;
;Gross Domestic Product, Nominal, Seasonally Adjusted, Domestic Currency;;Millions;273.994,60;285.897,40;296.687,30;311.085,20;330.487,00;343.861,10;358.355,70;372.223,80;375.884,50;390.484,20;399.992,30;415.118,20;428.884,20;452.952,40;467.358,70;474.232,10;500.424,30;498.950,30;521.326,70;534.196,40;555.652,90;578.339,90;598.147,50;618.801,00;628.838,40;647.310,70;635.092,10;715.318,50;726.280,40;756.765,40;797.966,50;852.691,90;882.281,00;917.127,90;988.943,60;972.813,10;1.023.164,00;1.059.897,00;1.096.948,00;1.137.800,00;1.183.044,00;1.077.108,00;1.344.801,00;1.443.614,00;1.545.973,00;1.646.056,00;1.856.126,00;2.207.988,00;2.797.932,00;3.551.842,00;4.088.909,00;4.573.092,00;5.117.325,00;5.821.247,00;7.414.164,00;8.192.986,00;9.552.693,00;10.356.230,00;
